Date,Per Share Data,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Cash per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,,Ratios,ROE %,ROE % Adjusted to Book Value,ROA %,Return-on-Tangible-Equity,Return-on-Tangible-Asset,ROC (Joel Greenblatt) %,ROCE %,5-Year RORE %,1-Year ROIIC %,ROIC %,WACC %,Effective Interest Rate on Debt %,,Gross Margin %,Operating Margin %,Net Margin %,EBITDA Margin %,FCF Margin %,,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Liabilities-to-Assets,Gross-Profit-to-Asset %,Degree of Operating Leverage,Degree of Financial Leverage,,Asset Turnover,Dividend Payout Ratio,,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,,Receivables Turnover,Inventory Turnover,COGS-to-Revenue,RD-to-Revenue,Inventory-to-Revenue,Capex-to-Revenue,Capex-to-Operating-Income,Capex-to-Operating-Cash-Flow,,Income Statement,Revenue,  Cost of Goods Sold,Gross Profit,Gross Margin %,,"  Selling, General, & Admin. Expense",  Research & Development,  Other Operating Expense,  Total Operating Expense,Operating Income,Operating Margin %,,    Interest Income,    Interest Expense,  Net Interest Income,  Other Income (Expense),Pretax Income,  Tax Provision,  Tax Rate %,  Other Net Income (Loss),  Net Income Including Noncontrolling Interests,    Net Income (Continuing Operations),    Net Income (Discontinued Operations),  Other Income (Minority Interest),Net Income,Net Margin %,,  Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),,EBIT,"  Depreciation, Depletion and Amortization",EBITDA,EBITDA Margin %,,Balance Sheet,    Cash and Cash Equivalents,    Marketable Securities,"  Cash, Cash Equivalents, Marketable Securities",    Accounts Receivable,    Notes Receivable,    Loans Receivable,    Other Current Receivables,  Total Receivables,"    Inventories, Raw Materials & Components","    Inventories, Work In Process","    Inventories, Inventories Adjustments","    Inventories, Finished Goods","    Inventories, Other",  Total Inventories,  Other Current Assets,  Total Current Assets,  Investments And Advances,      Land And Improvements,      Buildings And Improvements,"      Machinery, Furniture, Equipment",      Construction In Progress,      Other Gross PPE,"    Gross Property, Plant and Equipment",    Accumulated Depreciation,"  Property, Plant and Equipment",  Intangible Assets,    Goodwill,  Other Long Term Assets,  Total Long-Term Assets,Total Assets,,    Accounts Payable,    Total Tax Payable,    Other Current Payables,    Current Accrued Expense,  Accounts Payable & Accrued Expense,    Short-Term Debt,    Short-Term Capital Lease Obligation,  Short-Term Debt & Capital Lease Obligation,    Current Deferred Revenue,    Current Deferred Taxes Liabilities,  Deferred Tax And Revenue,  Other Current Liabilities,  Total Current Liabilities,    Long-Term Debt,    Long-Term Capital Lease Obligation,  Long-Term Debt & Capital Lease Obligation,Debt-to-Equity,  Pension And Retirement Benefit,  NonCurrent Deferred Liabilities,  Other Long-Term Liabilities,  Total Long-Term Liabilities,Total Liabilities,,  Common Stock,  Preferred Stock,  Retained Earnings,  Accumulated other comprehensive income (loss),  Additional Paid-In Capital,  Treasury Stock,  Other Stockholders Equity,  Total Stockholders Equity,  Minority Interest,Total Equity,Equity-to-Asset,,Cashflow Statement,  Net Income From Continuing Operations,"  Cash Flow Depreciation, Depletion and Amortization",    Change In Receivables,    Change In Inventory,    Change In Prepaid Assets,    Change In Payables And Accrued Expense,    Change In Other Working Capital,  Change In Working Capital,  Deferred Tax,  Stock Based Compensation,  Asset Impairment Charge,  Cash from Discontinued Operating Activities,  Cash Flow from Others,Cash Flow from Operations,,"  Purchase Of Property, Plant, Equipment","  Sale Of Property, Plant, Equipment",  Purchase Of Business,  Sale Of Business,  Purchase Of Investment,  Sale Of Investment,  Net Intangibles Purchase And Sale,  Cash From Discontinued Investing Activities,  Cash From Other Investing Activities,Cash Flow from Investing,,  Issuance of Stock,  Repurchase of Stock,  Net Issuance of Preferred Stock,    Issuance of Debt,    Payments of Debt,  Net Issuance of Debt,  Cash Flow for Dividends,  Cash Flow for Lease Financing,  Other Financing,Cash Flow from Financing,,  Beginning Cash Position,    Effect of Exchange Rate Changes,  Net Change in Cash,Ending Cash Position,,Capital Expenditure,Free Cash Flow,,Valuation Ratios,PE Ratio,PE Ratio without NRI,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,EV-to-FCF,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Cyclically Adjusted PB Ratio,Cyclically Adjusted PS Ratio,Cyclically Adjusted Price-to-FCF,Dividend Yield %,FCF Yield %,,Valuation and Quality,Market Cap,Enterprise Value,Month End Stock Price,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Cash Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,Buyback Yield %,Shareholder Yield %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth (%),5-Year EBITDA Growth Rate (Per Share),Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Restated Filing Date,Filing Date,Earnings Release Date,Number of Shareholders,Number of Employees,,Forex Rate
1979-09,,0.005,0.005,0.005,0.001,0.001,-,-,-,-,-,0.001,0.001,-,-,,,52.577,-,-,52.5773,-,550.57,-,-,-,-,-,-,,-,100,10.6472,100,-,,0.021,-,-,-,-,-,-,,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,,,47.9,-,47.9,-,,-,-,-,-,47.9,100,,-,-,-,-47.9,-,-,-,5.1,5.1,5.1,-,-,5.1,10.6472,,-,0.001,0.001,9520,,47.9,-,47.9,100,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.8,19.8,-,-,-,-,-,-,-,-,-,-,-,-19.8,-19.8,-,,-,-,-,-,-,-,-,-,-,-,-,11.1,11.1,0.2,-,0.2,0.021,-,-,-21,-20.8,-9.7,,-,-,-,-,-,-,9.7,9.7,-,9.7,-,,,5.1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.78,1.78,-,N/A,-,-,-,-,-,-,-,-,-,9520,9520,-,-,-,-,-,-,,1
1980-09,,0.011,0.011,0.011,0.001,0.001,-,-,-,-,-,0.002,0.002,-,-,,,65.73,-,-,65.7303,-,936.8,-,-,-,-,-,-,,-,100,9.9915,100,-,,0.027,-,-,-,-,-,-,,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,,,117.1,-,117.1,-,,-,-,-,-,117.1,100,,-,-,-,-117.1,-,-,-,11.7,11.7,11.7,-,-,11.7,9.9915,,-,0.001,0.001,10920,,117.1,-,117.1,100,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.1,54.1,-,-,-,-,-,-,-,-,-,-,-,-54.1,-54.1,-,,-,-,-,-,-,-,-,-,-,-,-,37.8,37.8,0.7,-,0.7,0.027,-,-,-64.4,-63.7,-25.9,,-,-,-,-,-,-,25.9,25.9,-,25.9,-,,,11.7,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,0.01,-,-,-,-,0.01,-,-,-,-,-,-,1.43,1.43,-,N/A,-,-,-14.71,-,-,113.13,99.81,113.13,-,10920,10920,-,-,-,-,-,-,,1
1981-09,,0.027,0.006,0.005,0.003,0.003,-,-,-,0.006,-,0.014,0.014,0.001,0.07,,,38.76,7.93,15.4631,38.7605,15.4631,145.18,90.191,-,-,18.73,-,-,,51.76,19.773,11.7682,22.3417,-,,0.071,0.696,0.049,0.3,68.014,-,-,,1.314,-,,-,-,234.82,234.82,,-,1.55,0.48,-,0.31,-,-,-,,,334.8,161.5,173.3,51.76,,98.5,-,8.6,107.1,66.2,19.773,,-,-,-,10.3,76.5,-37.1,48.5,-,39.4,39.4,-,-,39.4,11.7682,,-,0.003,0.003,12257.778,,66.2,8.6,74.8,22.3417,,,72.8,-,72.8,-,-,-,42.3,42.3,-,-,-,-,103.9,103.9,8.1,227.1,-,-,-,-,-,30.9,30.9,-8.5,22.4,-,-,5.3,27.7,254.8,,-,-,-,-,-,10.7,-,10.7,-,-,-,59.5,70.2,1.9,-,1.9,0.071,-,5.3,-,7.2,77.4,,-,-,57,-,-,-,120.4,177.4,-,177.4,0.696,,,39.4,8.6,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,21.78,25.88,-,4.89,4.89,-,-,2.56,-,2.41,10.79,12.19,-,8.2,-,-,-,-,-,-,-,,,867.245,807.045,0.07,-,0.01,-,-,-,-,0.03,-,-,-,-,-,-,3.24,1.75,1.04,N/A,-,-,-13.45,-,-,154.71,200.09,-43.09,-,12257.778,12389.216,-,-,-,-,-,-,,1
1982-09,,0.046,0.009,0.008,0.005,0.004,-,-,-,0.012,-,0.02,0.02,-,0.08,,,28.216,7.09,20.0131,28.2163,20.0131,178.67,44.766,-,-,27.74,-,-,,53.46,17.527,10.5128,20.3739,-,,0.025,0.719,0.018,0.28,101.763,-,-,,1.904,-,,-,-,120.57,120.57,,-,3.03,0.47,-,0.154,-,-,-,,,583.1,271.4,311.7,53.46,,192.9,-,16.6,209.5,102.2,17.527,,-,-,-,14.6,116.8,-55.5,47.52,-,61.3,61.3,-,-,61.3,10.5128,,-,0.005,0.005,12714.074,,102.2,16.6,118.8,20.3739,,,153.1,-,153.1,-,-,-,71.5,71.5,-,-,-,-,75.4,75.4,11.2,311.2,-,-,-,-,-,57.3,57.3,-22.8,34.5,-,-,12.1,46.6,357.8,,-,-,-,-,-,4.2,-,4.2,-,-,-,81.6,85.8,2.1,-,2.1,0.025,-,12.9,-0.1,14.9,100.7,,-,-,118.3,-,-,-,138.8,257.1,-,257.1,0.719,,,61.3,16.6,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,16.59,19.36,-,3.98,3.98,-,-,1.74,-,1.5,7.38,8.58,-,11.66,-,-,-,-,-,-,-,,,1023.644,876.844,0.08,-,0.02,0.01,-,-,-,0.04,-,-,N/A,-,0.433,-,3.63,2.75,1.78,N/A,-,-,-3.28,-,-,67.91,50,53.12,-,12714.074,12795.552,-,-,-,-,-,-,,1
1983-09,,0.073,0.011,0.01,0.006,0.005,-,-,-,0.011,-,0.028,0.028,-,0.1,,,24.157,6.88,16.776,24.1575,16.776,155.24,37.068,-,-,22.04,-,-,,50.82,13.197,7.8042,15.4762,-,,0.003,0.679,0.002,0.32,109.252,-,-,,2.15,-,,-,-,82.28,82.28,,-,4.44,0.49,-,0.111,-,-,-,,,982.8,483.3,499.5,50.82,,347.4,-,22.4,369.8,129.7,13.197,,-,-,-,16.4,146.1,-69.4,47.5,-,76.7,76.7,-,-,76.7,7.8042,,-,0.006,0.006,13422.5,,129.7,22.4,152.1,15.4762,,,143.3,-,143.3,-,-,-,136.4,136.4,-,-,-,-,142.5,142.5,46.8,469,-,-,-,-,-,110,110,-42.9,67.1,-,-,20.5,87.6,556.6,,-,-,-,-,-,-,-,-,-,-,-,128.8,128.8,1.3,-,1.3,0.003,-,48.6,-,49.9,178.7,,-,-,195,-,-,-,182.9,377.9,-,377.9,0.679,,,76.7,22.4,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,17.5,20.09,-,3.51,3.51,-,-,1.37,-,1.2,7.78,9.13,-,10.95,-,-,-,-,-,-,-,,,1326.035,1184.035,0.1,-,0.02,-,-,-,-,0.06,-,-,N/A,-,0.659,-,3.64,2.53,1.11,N/A,0.28,0.08,-3.63,-,-,59.65,18.52,21.27,-,13422.5,13260.352,-,-,-,-,-,-,,1
1984-09,,0.114,0.01,0.007,0.005,0.004,-,-,-,0.008,-,0.034,0.034,-,0.11,,,15.217,4.74,9.5288,15.2166,9.5288,69.63,19.035,-,-,9.88,23.55,-,,44.55,6.036,4.2285,8.5428,-,,-,0.589,-,0.41,100.387,-,-,,2.253,-,,-,-,88.38,88.38,,-,4.13,0.55,-,0.134,-,-,-,,,1515.9,840.6,675.3,44.55,,545.8,-,38,583.8,91.5,6.036,,-,-,-,17.7,109.2,-45.1,41.3,-,64.1,64.1,-,-,64.1,4.2285,,-,0.005,0.005,13294.815,,91.5,38,129.5,8.5428,,,114.9,-,114.9,-,-,-,258.2,258.2,-,-,-,-,264.6,264.6,49.9,687.6,-,-,-,-,-,149.6,149.6,-73.7,75.9,-,-,25.3,101.2,788.8,,-,-,-,-,-,-,-,-,-,-,-,255.2,255.2,-,-,-,-,-,69,-,69,324.2,,-,-,259.1,-,-,-,205.5,464.6,-,464.6,0.589,,,64.1,38,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,22,27.5,-,3.21,3.21,-,-,0.96,-,0.91,10.63,15.05,-,6.64,-,-,-,-,-,-,-,,,1491.582,1376.682,0.11,-0.02,0.03,-0.01,-,-,-,0.06,-,5.4,N/A,-,0.628,-,2.69,1.66,0.45,10000,0.15,0.08,-2.26,-,-,55.72,-15.63,-14.04,-,13294.815,13559.84,1.85,-,-,-,-,-,,1
1985-09,,0.14,0.014,0.011,0.004,0.006,-,-,-,0.024,-,0.04,0.04,-,0.07,,,12.058,6.84,7.0957,12.0579,7.0957,130.59,25.085,-,-28.66,11.8,18.89,-,,43.91,7.6787,3.1903,9.8577,-,,-,0.588,-,0.41,97.658,-,-0.33,,2.224,-,,-,-,73.2,73.2,,-,4.99,0.56,-,0.112,-,-,-,,,1918.3,1076,842.3,43.91,,653.2,-,41.8,695,147.3,7.6787,,-,-,-,-27.3,120,-58.8,49,-,61.2,61.2,-,-,61.2,3.1903,,-,0.004,0.004,13708.8,,147.3,41.8,189.1,9.8577,,,337,-,337,-,-,-,220.2,220.2,-,-,-,-,167,167,97.9,822.1,-,-,-,-,-,175.6,175.6,-85.2,90.4,-,-,23.7,114.1,936.2,,-,-,-,-,-,-,-,-,-,-,-,295.4,295.4,-,-,-,-,-,90.3,-,90.3,385.7,,-,-,320.3,-,-,-,230.2,550.5,-,550.5,0.588,,,61.2,41.8,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,17.5,11.67,-,1.76,1.76,-,-,0.5,-,0.33,3.35,4.3,-,23.26,-,-,-,-,-,-,-,,,969.808,632.808,0.07,-,0.03,-,-,-,-,0.07,-,4.71,N/A,-,0.271,-,2.78,2.22,1.14,10000,0.14,0.06,-2.17,-,-,22.72,-7.41,41.61,-,13708.8,13854.4,1.43,-,-,-,-,-,,1
1986-09,,0.132,0.023,0.019,0.011,0.009,-,-,-,0.041,-,0.049,0.049,-,0.15,,,24.747,8.16,14.6926,24.7469,14.6926,276.68,37.15,-,-397.61,22.98,13.27,-,,55.83,14.3804,8.0972,17.0671,-,,-,0.598,-,0.4,101.312,-100.21,2.04,,1.815,-,,-,-,59.9,59.9,,-,6.09,0.44,-,0.072,-,-,-,,,1901.9,840,1061.9,55.83,,737.3,-,51.1,788.4,273.5,14.3804,,-,-,-,36.3,309.8,-155.8,50.29,-,154,154,-,-,154,8.0972,,-,0.011,0.011,14373.333,,273.5,51.1,324.6,17.0671,,,576.2,-,576.2,-,-,-,263.1,263.1,-,-,-,-,108.7,108.7,92.9,1040.9,-,-,-,-,-,222,222,-114.7,107.3,-,-,11.9,119.2,1160.1,,-,-,-,-,-,-,-,-,-,-,-,328.5,328.5,-,-,-,-,-,137.5,-,137.5,466,,-,-,474.3,-,-,-,219.8,694.1,-,694.1,0.598,,,154,51.1,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,13.64,16.67,-,3.03,3.03,-,-,1.14,-,0.8,4.71,5.59,-,17.89,-,-,-,-,-,-,-,,,2104.301,1528.101,0.15,0.01,0.04,0.01,-,-,-,0.1,-,5.66,N/A,-,0.126,-,3.17,2.84,1.75,10000,0.17,0.07,-1.26,-,-,-5.44,140.01,63.72,-,14373.333,14028.672,0.97,-,-,-,-,-,,1
1987-09,,0.181,0.03,0.025,0.015,0.013,-,-,-,0.04,0.001,0.059,0.059,-,0.5,,,28.42,3.37,16.4898,28.4202,16.4898,312.58,40.583,-,29.83,26.31,18.93,-,,53.94,13.9604,8.1733,16.6097,-,,-,0.566,-,0.43,108.825,0.9,1.39,,2.018,0.081,,-,-,49.81,49.81,,-,7.33,0.46,-,0.063,-,-,-,,,2661.1,1225.7,1435.4,53.94,,993.4,-,70.5,1063.9,371.5,13.9604,,-,-,-,38.9,410.4,-192.9,47,-,217.5,217.5,-,-,217.5,8.1733,,-,0.015,0.015,14674.699,,371.5,70.5,442,16.6097,,,565.1,-,565.1,-,-,-,405.6,405.6,-,-,-,-,225.8,225.8,110.9,1307.4,-,-,-,-,-,289.1,289.1,-158.7,130.4,-,-,40.1,170.5,1477.9,,-,-,-,-,-,-,-,-,-,-,-,478.7,478.7,-,-,-,-,-,162.8,-0.1,162.7,641.4,,-,-,573.1,-,-,-,263.4,836.5,-,836.5,0.566,,,217.5,70.5,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,33.33,38.46,-,8.44,8.44,-,-,2.76,-,2.44,14.7,17.49,-,5.72,-,-,-,-,-,0.21,-,,,7060.928,6495.828,0.5,-0.01,0.05,-,-,-,-,0.13,-,9.62,2,-1.41,0.234,-,2.73,2.26,1.18,10000,0.51,0.15,-0.66,-,0.21,37.04,38.33,33.37,-,14674.699,14121.856,1.55,-,-,-,-,-,,1
1988-09,,0.28,0.048,0.043,0.028,0.026,-,-,-,0.04,0.003,0.073,0.073,0.009,0.39,,,43.513,8.14,22.4888,43.5132,22.4888,367.26,55.035,42.86,39.88,30.9,19.09,-,,53.01,15.2355,9.832,17.144,-,,0.127,0.482,0.061,0.52,121.247,1.26,1.29,,2.287,0.11,,-,-,65.56,65.56,,-,5.57,0.47,-,0.084,-,-,-,,,4071.4,1913.2,2158.2,53.01,,1460.2,-,77.7,1537.9,620.3,15.2355,,-,-,-,35.9,656.2,-255.9,39,-,400.3,400.3,-,-,400.3,9.832,,-,0.028,0.028,14556.364,,620.3,77.7,698,17.144,,,545.7,-,545.7,-,-,-,638.8,638.8,-,-,-,-,461.5,461.5,137,1783,-,-,-,-,-,420.4,420.4,-213,207.4,-,-,91.7,299.1,2082.1,,-,-,-,-,-,127.9,-,127.9,-,-,-,699.2,827.1,-,-,-,0.127,-,251.6,-,251.6,1078.7,,-,-,776.5,-,-,-,226.9,1003.4,-,1003.4,0.482,,,400.3,77.7,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,13.93,15,-,5.34,5.34,-,-,1.39,-,1.21,7.08,7.97,-,12.55,-,-,-,-,-,0.74,-,,,5362.506,4944.706,0.39,-0.04,0.05,-0.02,-,-,-,0.21,-,6.01,3,-1.8,0.396,-,2.16,1.6,0.66,10000,0.53,0.25,2.63,-,0.74,54.24,85.55,59.2,-,14556.364,13750.016,1.78,-,-,-,-,-,,1
